nomEmp,tipo,idEmp
Tech Solutions Inc.,Tecnología,1
Green Energy Corp.,Energía,2
Fresh Foods Ltd.,Alimentación,3
Global Logistics Co.,Logística,4
Future Finance Group,Finanzas,5
Blue Ocean Marketing,Marketing,6
Healthcare Plus,Salud,7
Urban Development LLC,Construcción,8
Visionary Designs,Diseño,9
SkyHigh Airlines,Transporte,10
Quantum Computing Labs,Tecnología,11
GreenTech Innovations,Energía,12
Gourmet Delights Co.,Alimentación,13
Apex Shipping Ltd.,Logística,14
SmartMoney Investments,Finanzas,15
Digital Reach Media,Marketing,16
Lifecare Pharma,Salud,17
Bright Future Builders,Construcción,18
Pixel Perfect Studio,Diseño,19
SwiftMove Transit,Transporte,20
Advanced AI Systems,Tecnología,21
Solar Horizons Inc.,Energía,22
Organic Harvest Foods,Alimentación,23
Global Freight Services,Logística,24
WealthWise Advisory,Finanzas,25
CreativeEdge Branding,Marketing,26
Wellness Essentials,Salud,27
Skyline Constructors,Construcción,28
Artistic Creations,Diseño,29
JetStream Aviation,Transporte,30
