idProd,nomProd,categoria,descripcion,precio,idAd
1,Laptop Pro,Electrónica,Laptop de alto rendimiento para profesionales,1200,1
2,Smartphone X,Electrónica,Teléfono inteligente con cámara avanzada,800,2
3,Silla Ergonómica,Muebles,Silla ideal para largas horas de oficina,200,3
4,Mesa de Roble,Muebles,Mesa robusta hecha de madera de roble,350,4
5,Audífonos HiFi,Electrónica,Audífonos de alta fidelidad con cancelación,150,5
6,Reloj Inteligente,Electrónica,Reloj con monitoreo de actividad física,250,6
7,Juego de Sábanas,Hogar,Sábanas de algodón egipcio de alta calidad,90,7
8,Zapatillas Running,Moda,Zapatillas ligeras para correr,120,8
9,Camisa Formal,Moda,Camisa de algodón para eventos formales,60,9
10,Mochila Escolar,Escolar,Mochila resistente y con múltiples bolsillos,40,10
11,Lámpara LED,Iluminación,Lámpara de bajo consumo con luz cálida,35,11
12,Licuadora Compacta,Electrodomésticos,Licuadora portátil para smoothies,70,12
13,Televisor 4K,Electrónica,TV con resolución Ultra HD y funciones smart,900,13
14,Cámara Reflex,Electrónica,Cámara profesional con lente intercambiable,1400,14
15,Escritorio Modular,Muebles,Escritorio ajustable y fácil de montar,300,15
16,Sofá 3 Plazas,Muebles,Sofá cómodo con tapizado de terciopelo,700,16
17,Frigorífico Compacto,Electrodomésticos,Refrigerador ideal para espacios pequeños,500,17
18,Libro Bestseller,Libros,Último libro del autor más vendido,25,18
19,Bicicleta Urbana,Deportes,Bicicleta ligera ideal para la ciudad,450,19
20,Tabla de Surf,Deportes,Tabla profesional para olas medianas,600,20
21,Pelota de Fútbol,Deportes,Pelota de fútbol aprobada por la FIFA,40,21
22,Gafas de Sol,Moda,Gafas polarizadas con diseño moderno,80,22
23,Smart Speaker,Electrónica,Altavoz inteligente con control por voz,110,23
24,Máquina de Café,Electrodomésticos,Cafetera automática para espresso,300,24
25,Bolsa de Viaje,Moda,Bolsa espaciosa y resistente para viajes,90,25
26,Coche a Control,Juguetes,Coche eléctrico con control remoto,70,26
27,Drone HD,Electrónica,Drone con cámara de alta definición,400,27
28,Juguete Educativo,Juguetes,Juguete interactivo para estimular el aprendizaje,60,28
29,Chaqueta Impermeable,Moda,Chaqueta para actividades al aire libre,130,29
30,Kit de Herramientas,Hogar,Set completo de herramientas para bricolaje,150,30
